##name	Lexique de Warhammer 40000
##version	0.0.3
##website	https://github.com/WillScarlettOhara/Dictionnaires
##date	2023-11-09
##description	Dictionnaire pour faciliter la lecture des livres Warhammer 400000 (ɔ) 2023
##sourceLang	French
##targetLang	French
Le Hurlement de Crinière Noire (Conquest, Extension)	"Le Hurlement de Crinière Noire" est le nom de la première extension du jeu de carte Conquest publié en français par Edge Entertainment.
Le Labyrinthe de Glace (Roman)	Le Labyrinthe de Glace est le second tome de la série Ciaphas Cain "Héros de l'Imperium".
Le Linceuil	Le Linceuil ( ou Deathshroud) fut le nom d'une unité de l'antique XIVème légion de la Death Guard. 1
Le Marteau et l'Enclume (Roman)	"Le Marteau et l'Enclume" est le second tome d'un diptyque consacré aux Soeurs de Bataille écrit par James Swallow. 2
Le Masque	Le Masque est une Démonette et l'ancienne demoiselle d'honneur de Slaanesh. 1
Le Maître de l'Humanité (Roman)	"Le Maître de l'Humanité", sous-titré: "Guerre dans la Toile", est le quarante-et-unième tome de la série de romans et nouvelles décrivant les événements de l'Hérésie d'Horus.
Le Monde de Rynn (Roman)	"Le Monde de Rynn" est le premier tome de la série de romans et nouvelles comtant les exploits les plus célèbres des Chapitres de Space Marines. Cet ouvrage raconte le combat désespéré des Crimson Fists pour la survie de leur monde natal et de leur chapitre contre les hordes du Seigneur de guerre ork Snagrod. 2
Le Pacte de Sang (Roman)	"Le Pacte de Sang" est le 1er tome du Cycle Quatrième, La Victoire, des Fantômes de Gaunt décrivant les aventures du Commissaire Ibram Gaunt et des soldats du 1er et unique régiment levé sur Tanith avant sa destruction, les célèbres Fantômes de Gaunt. 1
Le Pilleur de Sang (Roman)	"Le Pilleur de Sang" est le second tome d'une série de romans et nouvelles consacrés à la légion renégate des Night Lords et écrite par Aaron Dembski-Bowden.
Le Premier Hérétique (Roman)	"Le Premier Hérétique" est le quatorzième tome de la série de romans et nouvelles décrivant les événements de l'Hérésie d'Horus. L'ouvrage raconte le destin de la Légion des Word Bearers et leur descente inexorable vers le Chaos.
Le Retour des Anges (Roman)	"La Retour des Anges" est le sixième tome de la série de romans et de nouvelles décrivant les évènements de l'Hérésie d'Horus. L'ouvrage aborde la chronique du destin de la légion des Dark Angels et de son primarque, Lion El'Jonson; étroitement lié à l'histoire de Caliban et de ses habitants.
Le Roc	Le Roc désigne une base interstellaire de combat, également le fief et la Forteresse-Monastère du Chapitre des Dark Angels. 3-p.10
Le Sang du Phénix (Boîte de Jeu)	Le Sang du Phénix est une Boîte de Jeu pour la 8ème édition de Warhammer 40,000 sortie en octobre 2019.
Le Spore (Vaisseau)	Le "Spore" fut un Transport Impérial victime d'une infestation Genestealer.
Le Traqueur des Abîmes (Roman)	"Le Traqueur des Abîmes" est le troisième tome d'une série de romans et nouvelles consacrés à la légion renégate des Night Lords et écrite par Aaron Dembski-Bowden.
Le Traître (Roman)	"Le Traître" est le 1er tome du Cycle Troisième, Les égarés, des Fantômes de Gaunt décrivant les aventures du Commissaire Ibram Gaunt et des soldats du 1ère et unique régiment levé sur Tanith avant sa destruction, les célèbres Fantômes de Gaunt.1
Le Trône de l'Ombre (Boîte de Jeu)	Le Trône de l'Ombre est une Boîte de Jeu pour la 9ème édition de Warhammer 40,000 sortie en décembre 2021. 1
Le Voleur	Le Voleur est un personnage légendaire qui appartenait (et peut-être même toujours) au clan Deathskull. 1
Le Warp Déchaîné (Conquest, Extension)	"Le Warp Déchaîné" est le nom de la sixième et dernière extension du troisième cycle du jeu de carte Conquest publié en français par Edge Entertainment.
Leandros	Frère Leandros fut un Space Marine de la 2ème compagnie des Ultramarines. 2
Learchus	Learchus peut désigner :<ul><li> Learchus Abantes : un Sergent Vétéran de la 4ème Compagnie des Ultramarines.</li> <li> Learchus (Imperial Fists) : un Capitaine Imperial Fists.</li></ul>
Learchus Abantes	Learchus Abantes est un Sergent Vétéran de la 4ème compagnie des Ultramarines. 1
Leave No Survivors (Horus Heresy, Jeu de Base)	"Horus Heresy (Leave No Survivors)" est le nom de la première collection de cartes du jeu Horus Heresy (Jeu de cartes), commercialisé à l'origine sous licence de Games Workshop par la société Sabertooth Games en 2003, et en France par la société Hexagonal sous son nom original resté en anglais. Ce jeu n'est actuellement plus commercialisé.
Legatus	Legatus est un Monde Minier des Coronid Reach. 1
Legatus Stygies	Le Legatus Stygies est un Cuirassé de classe Emperor affecté à la Flotte de Guerre Gothique. 1
Legio Adamantus	La Legio Adamantus est une Légion Titanique loyaliste. 1
Legio Agravides	La Legio Agravides fut une Légion Titanique loyaliste, détruite durant l'Hérésie d'Horus. 1
Legio Argentum	La Legio Argentum est une Légion Titanique renégate. 1
Legio Astorum	La Legio Astorum est une Légion Titanique de l'Adeptus Mechanicus. 1
Legio Astraman	La Legio Astraman est une Légion Titanique de l'Adeptus Mechanicus. 1
Legio Atarus	La Legio Atarus est une Légion Titanique de l'Adeptus Mechanicus. 1
Legio Atrox	La Legio Atrox est une Légion Titanique loyaliste. 1
Legio Audax	La Legio Audax est une Légion Titanique renégate. 1
Legio Crucius	La Legio Crucius est une Légion Titanique de l'Adeptus Mechanicus. 1
Legio Cybernetica	La Legio Cybernetica est une branche de l'Adeptus Mechanicus. 1
Legio Damicium	La Legio Damicium est une Légion Titanique renégate. 1
Legio Defensor	La Legio Defensor est une Légion Titanique de l'Adeptus Mechanicus. 1
Legio Excruciatus	La Legio Excruciatus est une Légion Titanique renégate. 1
Legio Fortidus	La Legio Fortidus fut une Légion Titanique loyaliste, détruite durant l'Hérésie d'Horus. 1
Legio Fureans	La Legio Fureans est une Légion Titanique renégate. 1
Legio Gryphonicus	La Legio Gryphonicus est une Légion Titanique de l'Adeptus Mechanicus. 1
Legio Honorum	La Legio Honorum est une Légion Titanique de l'Adeptus Mechanicus. 1
Legio Ignatum	La Legio Ignatum est une Légion Titanique de l'Adeptus Mechanicus. 1
Legio Ignis	La Legio Ignis est une Légion Titanique loyaliste. 1
Legio Interfector	La Legio Interfector est une Légion Titanique renégate. 1
Legio Invigilata	La Legio Invigilata est une Légion Titanique de l'Adeptus Mechanicus. 1, 3
Legio Ironclad	La Legio Metallum Armaturum, 1-chap.12 appelée également "Legio Ironclad" est la plus puissante Légion Titanique connue créée par le Mechanicum de Mars. Elle fut malheureusement détruite avant d'avoir pu être mise en service. 1-chap.15
Legio Krytos	La Legio Krytos est une Légion Titanique renégate. 1
Legio Kulisaetai	La Legio Kulisaetai est une Légion Titanique renégate. 1
Legio Laniaskara	La Legio Laniaskara est une Légion Titanique renégate. 1
Legio Lysanda	La Legio Lysanda est une Légion Titanique loyaliste. 1
Legio Magna	La Legio Magna est une Légion Titanique de l'Adeptus Mechanicus. Durant  l'Hérésie d'Horus, une partie de la légion combattit aux cotés des traîtres. 1, 3
Legio Metalica	La Legio Metalica est une Légion Titanique de l'Adeptus Mechanicus. 1, 2
Legio Mordaxis	La Legio Mordaxis est une Légion Titanique renégate. 1
Legio Mortis	La Legio Mortis est une Légion Titanique renégate. 1
Legio Oberon	La Legio Oberon est une Légion Titanique loyaliste. 1
Legio Osedax	La Legio Osedax est une Légion Titanique de l'Adeptus Mechanicus. 1
Legio Perennia	La Legio Perennia est une Légion Titanique loyaliste. 1
Legio Phasma	La Legio Phasma est une Légion Titanique renégate. 1
Legio Praesagius	La Legio Praesagius est une Légion Titanique de l'Adeptus Mechanicus. 1
Legio Saevus	La Legio Saevus est une Légion Titanique loyaliste. 1
Legio Solaria	La Legio Solaria est une Légion Titanique de l'Adeptus Mechanicus. 1
Legio Suturvora	La Legio Suturvora (aussi connue comme la Legio Infernus) est une Légion Titanique renégate. 1
Legio Tempestus	La Legio Tempestus (ou Legio Tempestor) est une Légion Titanique de l'Adeptus Mechanicus. 1
Legio Tritonis	La Legio Tritonis est une Légion Titanique dont l'allégeance est indéterminée. 1
Legio Venator	La Legio Venator est une Légion Titanique de l'Adeptus Mechanicus. 1
Legio Vindictus	La Legio Vindictus est une Légion Titanique loyaliste. 1
Legio Vulcanum I	La Legio Vulcanum I est une Légion Titanique renégate. 1
Legio Vulcanum II	La Legio Vulcanum II est une Légion Titanique renégate. 1
Legio Vulpa	La Legio Vulpa est une Légion Titanique renégate. 1
Legio Vulturum	La Legio Vulturum est une Légion Titanique renégate. 1
Legion of Night	La Legion of Night est un Chapitre Space Marine loyaliste. 1
Legiones Astartes	Les "Legiones Astartes" (Légions Astartes, Légions Space Marines) représentent les 20 formations militaires de Space Marines originelles créées par l'Empereur pour sa conquête de la galaxie.
Leiknir	Frère Leiknir fut un membre de l'antique VIème légion des Space Wolves. 1
Lekmeht	Frère Lekmeht fut un Sergent de l'antique XVème légion des Thousand Sons. 1
Lelith Hesperax	Lelith Hesperax, la Reine des Poignards, est la plus dangereuse des Succubes des arènes de Commorragh. 1, 2
Leman's Thunder	Le Leman's Thunder fut un Rhino de l'antique VIème légion des Space Wolves. 1
Leman Russ	Leman Russ est un terme qui peut désigner:<ul><li>Leman Russ (Primarque) : le Primarque des Space Wolves.</li> <li>Leman Russ (Tank) : le Tank nommé d'après le nom du Primarque, ainsi que ces variantes :Leman Russ Annihilator Leman Russ Conqueror Leman Russ DémolisseurLeman Russ Eradicator Leman Russ Executioner Leman Russ ExterminatorLeman Russ Punisher Leman Russ Vanquisher</li> <li>Leman Russ Annihilator</li> <li> Leman Russ Conqueror</li> <li> Leman Russ Démolisseur</li> <li>Leman Russ Eradicator</li> <li> Leman Russ Executioner</li> <li> Leman Russ Exterminator</li> <li>Leman Russ Punisher</li> <li> Leman Russ Vanquisher</li></ul>
Leman Russ (Primarque)	Leman Russ est un des plus célèbres héros de l'Imperium. De nombreuses légendes narrent ses actes à l'aube de l'histoire de l'Imperium.
Leman Russ (Tank)	Le Leman Russ est un char d'assaut utilisé par la Garde Impériale. Il fut également utilisé par le Solar Auxilia. 1,3
Leman Russ Annihilator	Le Leman Russ Annihilator est une variante du char Leman Russ Standard. Il est utilisé utilisé par la Garde Impériale et particulièrement les régiments de la Death Korps de Krieg. Il fut également utilisé par le Solar Auxilia. 1,2
Leman Russ Conqueror	Le Leman Russ Conqueror est une variante du char Leman Russ Standard utilisé par la Garde Impériale.
Leman Russ Démolisseur	Le Leman Russ Démolisseur est une variante du char Leman Russ Standard utilisé par la Garde Impériale. Il fut également utilisé par le Solar Auxilia. 1,3
Leman Russ Eradicator	Le Leman Russ Eradicator est une variante du char Leman Russ Standard utilisé par la Garde Impériale.
Leman Russ Executioner	Le Leman Russ Executioner  est une variante du char Leman Russ Standard utilisé par la Garde Impériale. Il fut également utilisé par le Solar Auxilia. 1,2
Leman Russ Exterminator	Le Leman Russ Exterminator est une variante du char Leman Russ Standard utilisé par la Garde Impériale. Il fut également utilisé par le Solar Auxilia. 1,2
Leman Russ Incinerator	Le Leman Russ Incinerator était une variante du Leman Russ Standard utilisé par le Solar Auxilia. 1
Leman Russ Punisher	Le Leman Russ Punisher  est une variante du char Leman Russ Standard utilisé par la Garde Impériale.
Leman Russ Vanquisher	Le Leman Russ Vanquisher est une variante du char Leman Russ Standard utilisé par la Garde Impériale. Il fut également utilisé par le Solar Auxilia. 1,2
Lemartes	Frère Lemartes est un Chapelain du chapitre des Blood Angels. Il est le "Gardien des égarés" par la grâce d'Astorath; chargé de diriger les Compagnies de la Mort à leur destin. 5
Lemnos	Lemnos est un Monde Minier du Secteur Gothique. 1
Lentrel Prime	Lentrel Prime fut un Monde Forge du Secteur Vidar. 2
Leodrakk	Leodrakk fut un célèbre héros des Salamanders lors de la Grande Croisade. 1
Leon	Frère "Leon" fut un Space Marine Vétéran de la 1ère compagnie des Blood Angels et un membre de l'escouade Gideon. 1
Leonatos	Frère "Leonatos" fut un Capitaine du chapitre des Blood Angels. 1
Leonatus	Frère "Leonatus" fut un Dreadnought de l'antique IXème légion des Blood Angels. 1
Leonidus	Frère "Leonidus" fut un Sergent Vétéran de la 1ère compagnie des Blood Angels.
Leonis Harum	Leonis Harum fut un Sergent Vétéran de la 202ème Compagnie de l'antique IXème Légion des Blood Angels. 1
Leonon	Frère "Leonon" fut un Apothecae Minoris du chapitre des Blood Angels. 1
Leptis	"Leptis" est un Monde Ruche appartenant à l'Imperium; et dirigé  au M41 par le Gouverneur Planétaire Semper.
Lernaia	Le Lernaia fut une Hydre de l'antique Armée Impériale au M31. 1
Les Anciens	Les Anciens forment la civilisation la plus ancienne ayant régné sur la Galaxie. 1
Les Anges Déchus (Roman)	"Les Anges Déchus" est le onzième tome de la série de romans et nouvelles décrivant les événements de l'Hérésie d'Horus. L'ouvrage aborde un autre aspect des archives disparues de la 1ère légion des Dark Angels, avec des révélations sur l'origine des "Déchus" et l'implication de Lion El'Jonson durant l'Hérésie d'Horus. Cet opus est la suite du t. 6 " Le Retour des Anges".
Les Anges de Caliban (Roman)	"Les Anges de Caliban" est le trente-huitième tome publié de la série de romans et nouvelles décrivant les évènements de l'Hérésie d'Horus.
Les Anges des Ténèbres (Roman)	"Les Anges des Ténèbres" est une histoire complète abordant l'histoire du chapitre des Dark Angels et plus particulièrement la traque et le jugement des "Déchus" au M41.
Les Armes de Tanith (Roman)	"Les Armes de Tanith" est le 2ème tome de La Sainte, Cycle second des Fantômes de Gaunt décrivant les aventures du Commissaire Ibram Gaunt et des soldats du 1ère et unique régiment levé sur Tanith avant sa destruction, les célèbres Fantômes de Gaunt.1
Les Batailles de l'Astartes (Série)	Les "Batailles de l'Astartes", titré aussi sur les couvertures "Un Roman Space Marines Battle"2, est une collection de romans inédits publiée par Black Library. Dans des éditions haut de gamme agrémentés de documents annexes en couleurs, chaque tome retrace l'histoire d'une bataille célèbre des chapitres de Space Marines loyalistes, mais aussi renégats.La traduction de la série fut initiée par la maison d'édition française de la Bibliothèque interdite pour les trois premiers tomes, avant d'être reprise par le département Black Library France. 1, 2
Les Descendants d'Isha (Conquest, Extension)	"Les Descendants d'Isha" est le nom de la sixième extension du premier cycle du jeu de carte Conquest publié en français par Edge Entertainment.
Les Dieux de Mars (Roman)	"Les Dieux de Mars" est le dernier tome d'une trilogie consacrée à l'Adeptus Mechanicus de Mars.
Les Douze Loups	Chacun de ces Grands Loups représente l'une des vertus des Space Wolves: l'art de la guerre, celui de la chasse, ou encore celui de la discrétion. Il n'est donc pas rare qu'un Seigneur Loup fasse de l'un d'eux le totem de sa Grande Compagnie.
Les Fantômes (Roman)	"Les Fantômes" est le 2ème tome de la Fondation, Cycle premier des Fantômes de Gaunt décrivant les aventures du Commissaire Ibram Gaunt et des soldats du 1ère et unique régiment levé sur Tanith avant sa destruction, les célèbres Fantômes de Gaunt.1
Les Fantômes de Gaunt (Série)	Les "Fantômes de Gaunt" est une collection parue initialement en Angleterre, sous la direction de la maison d'édition "Black Library", et dont les tomes sont traduits et publiés de manière différée pour les 18 pays couverts par les activités de la société d'édition de jeux de plateaux Games Workshop.Sa licence de traduction française est assurée par la maison d'édition indépendante la "Bibliothèque Interdite" jusqu'en juin 2011 avant d'être reprise par la filiale française de Black Library.
Les Faux Dieux (Roman)	"Les Faux Dieux" est le second tome de la série de romans et nouvelles décrivant les évènements de l'Hérésie d'Horus. Il est également le second tome du triptyque centré sur le destin du capitaine Garviel Loken et de la XVIème légion.
Les Feux de Phaistos	Les Feux de Phaistos (ou "The Fires of Phaistos Osiris" 1) furent une bataille opposant les Salamanders aux Orks. 2
Les Fils Perdus (Nouvelle)	"Les Fils Perdus" est une nouvelle publiée originellement en septembre 2012 dans le recueil de nouvelles "Black Library Weekender Anthology 2012". En 2016, elle est traduite en français dans le recueil La Guerre des Ombres 2
Les Frères du Serpent (Roman)	"Les Frères du Serpent" est une histoire complète composé de 7 nouvelles distinctes. Elles font le récit de la lutte des frères de bataille du Chapitre loyaliste des Iron Snakes pour défendre les populations impériales de la Barrière d'étoiles, portion de l'Imperium placée sous leur responsabilité.
Les Guerres pour Armageddon (Livre de background)	"Les guerres pour Armageddon" est une compilation de récits et de documents présentant les trois conflits majeurs qui ont secoué le Système Armageddon et menacé le Segmentum Solar durant le M41 d'un point de vue interne.
Les Guerriers d'Ultramar (Roman)	"Les Guerriers d'Ultramar" est le second tome de la série Uriel Ventris contant les aventures de la 4ème compagnie des Ultramarines.1
Les Halls de Terra (Relic, Extension)	"Les Halls de Terra" est le nom du de la deuxième extension du jeu de plateau Relic. Il est traduit en français par la société franco-espagnole Edge Entertainment d'après le jeu original créé par la société américaine Fantasy Flight Games sous licence de Games Workshop. 1
Les Jungles de Nectavus (Conquest, Extension)	"Les Jungles de Nectavus" est le nom de la première extension du troisième cycle du jeu de carte Conquest publié en français par Edge Entertainment.
Les Lames du Traître (Horus Heresy, Extension)	"Les Lames du Traître" est le nom de la collection de cartes représentant une extension du jeu Horus Heresy (Jeu de cartes), commercialisée à l'origine sous licence de Games Workshop par la société Sabertooth Games en 2004, et en France par la société Hexagonal sous son nom original resté en anglais. Ce jeu n'est actuellement plus commercialisé.
Les Légions Brisées (Recueil)	"Les Légions Brisées" est le quarante-troisième tome publié de la série de romans et nouvelles décrivant les événements de l'Hérésie d'Horus. L'ouvrage contient des nouvelles sans cohérence chronologique ni entre elles, ni avec le déroulement des autres ouvrages de la série. Cette opus est centré sur le destin des trois légions loyalistes ayant participé au Massacre du Site d'Atterrissage.
Les Légions de la Mort (Conquest, Extension)	"Les Légions de la Mort" est le nom de la seconde extension 'Deluxe' du jeu de carte Conquest publié en français par Edge Entertainment.
Les Mains de l'Empereur (Horus Heresy, Extension)	"Les Mains de l'Empereur" est le nom de la collection de cartes représentant une extension du jeu Horus Heresy (Jeu de cartes), commercialisée à l'origine sous licence de Games Workshop par la société Sabertooth Games en 2004, et en France par la société Hexagonal sous son nom original resté en anglais. Ce jeu n'est actuellement plus commercialisé.
Les Mondes de Sabbat (Recueil)	"Les Mondes de Sabbat" est un recueil de nouvelles inédites autour des évènements de la Croisade des Mondes de Sabbat, au M41. Il prend place dans la série de romans sur les Fantômes de Gaunt, et fut édité par son principal auteur: Dan Abnett.
Les Morts Oubliés (Roman)	"Les Morts Oubliés", sous-titré: "La vérité est à l'intérieur", est le dix-septième tome de la série de romans et nouvelles décrivant les événements de l'Hérésie d'Horus. Le récit se situe après Le Massacre du Site d'Atterrissage, mais s'écarte du destin des légions principales pour se focaliser sur des événements parallèles, tout aussi décisifs.
Les Ombres de la Traîtrise (Recueil)	"Les Ombres de la Traîtrise" (sans sous-titre), est le 22ème tome de la série de romans et nouvelles décrivant les événements de l'Hérésie d'Horus. L'ouvrage contient des nouvelles sans cohérence chronologique ni entre elles, ni avec le déroulement des romans ; passant des champs de bataille d'Isstvan V, de Phall, la Croisade de Thramas, parallèlement à des récits situés sur Terra ou Mars. À noter la réédition de deux anciennes nouvelles déjà parues en 2008 en édition limitée : La Tour Foudroyée/ Le Roi Sombre (Nouvelles) 2
Les Primarques (Recueil)	"Les Primarques" est le vingtième tome publié de la série de romans et nouvelles décrivant les évènements de l'Hérésie d'Horus. Ce recueil de nouvelles se concentre sur des évènements liés à la personnalité des Primarques, demi-dieux façonnés pour conquérir la galaxie, ... ou la brûler.
Les Prêtres de Mars (Roman)	"Les Prêtres de Mars" est le premier tome d'une trilogie consacrée à l'Adeptus Mechanicus de Mars.
Les Seigneurs de Mars (Roman)	"Les Seigneurs de Mars" est le second tome d'une trilogie consacrée à l'Adeptus Mechanicus de Mars.
Lestrallio	Frère "Lestrallio" fut un Chapelain des Blood Angels et un martyr du Culte de Sanguinius. 1-p.34
Letharton	Frère Letharton fut un Sergent de l'antique IIIème légion des Emperor's Children. 1
Lethe	Lethe peut désigner :<ul><li> Lethe (Sœur de Bataille) : une Sœur de Bataille de l'Ordre de Notre Dame des Martyrs.</li> <li> Lethe (Monde Chapitral) : ancien Monde Chapitral des Flame Falcons</li> <li> Lethe (Planète) : un Monde Civilisé.</li> <li> Lethe Onze : un Monde Ruche.</li> <li> Lethe Ambush : une bataille menée par l'Alpha Legion</li> <li> Brotherhood of Lethe : un Chapitre Space Marine du Chaos.</li></ul>
Lethe (Monde Chapitral)	Lethe fut le Monde Chapitral des Flame Falcons. 1
Lethe (Planète)	Lethe est un Monde Civilisé des Coronid Deeps. 1
Levi	Levi peut désigner :<ul><li> Levi (Blood Angels) : un Vétéran du Chapitre des Blood Angels.</li> <li> Levi (Excoriators) : un Sergent du Chapitre des Excoriators.</li></ul>
Levi (Blood Angels)	Frère "Levi" fut un vétéran de la première compagnie des Blood Angels. 1
Leviathan (Flotte-Ruche)	Leviathan est le nom d'une Flotte-Ruche Tyranide apparut à la fin de M41. Sa taille était jusque là inégalée. 1-p.18
Lexique eldar	La langue des Eldars est effroyablement complexe, issue de dizaines de millénaires d'évolution linguistique, au point que même le plus érudits des non-eldars ne peut en saisir que les bases1 à moins d'être un psyker logokinésique (doué d'une compréhension innée des différentes langues)2. Cela est principalement du au fait, qu'en plus d'une grammaire très complexe, la majeure partie du vocabulaire Eldar repose sur la psychée, la Mythologie, l'histoire et la géographie des Eldars. Pour compliquer encore le tout, le simple langage corporel peut assurer les besoins d'une communication de base. 1
Lhorgath	Le Frère Commandant Lhorgath, dit l'Ancien fut un Dreadnought Contemptor de l'antique XIVème Légion de la Death Guard. 1
Libators	Les Libators sont un Chapitre Space Marine loyaliste, successeur des Ultramarines, créé lors de la Seconde Fondation. 1Ils figurent parmi les Fils de Guilliman les plus impitoyables. Leur nom provient de leur pratique consistant à faire couler le sang de leurs ennemis en offrande à leur Primarque et à l'Empereur.Le Chapitre a dû faire face à la censure à plusieurs occasions. En cause, le traitement réservé aux chefs ennemis capturés qui, aux yeux des Libators, font la meilleure offrande. 1-p46
Liberators	Les Liberators sont un Chapitre Space Marine loyaliste. 1
Librarium	Le terme "Librarium" peut désigner :<ul><li> Librarium (Space Marines) : département/lieu regroupant tous les Archivistes d'une armée Space Marine, Librarium Sanctorum : le Librarium principal du chapitre itinérant des Blood Ravens,</li> <li> Librarium Sanctorum : le Librarium principal du chapitre itinérant des Blood Ravens,</li></ul>
Librarium (Space Marines)	Le Librarium est une immense chambre situé au cœur de la Forteresse-Monastère d'un Chapitre Space Marines. Le Librarium est sous la responsabilité du Maître Archiviste. 1
Libre Marchand	Les Libres Marchands sont des agents indépendants des différents corps d'armée et institutions opérant sous les ordres de l'Adeptus Administratum. Chaque Libre Marchand rend ainsi directement compte à l'Administratum. 1, 2
Libération de Varv	La Libération de Varv se déroula entre 925 et 926.M41 dans le Système Varv. Il opposa l'Imperium et les Nécrons de la Dynastie Nephrekh. 1
Lictor	Le Lictor est une créature Tyranide que la Flotte-Ruche envoie en éclaireur. En formant l'avant-garde de l'essaim, il cherche des poches de résistance ennemies et des formes de vie à éliminer. 1-p.38
Lieutenant (Space Marine)	Le grade de Lieutenant est l'un des derniers ajouts fait par Roboute Guilliman aux armées de l'Adeptus Astartes. 1, 2-p.62
Light Hammer	Le Light Hammer fut une Batterie Rapier de l'antique IIIème légion des Emperor's Children. 1
Light of Diogenes	Le "Light of Diogenes" est un Vaisseau Rogue Trader non-aligné. 1a
Lightning	Le Lightning est un aéronef de chasse utilisé par la Flotte Impériale. 1
Ligue Squat	Une "ligue Squat" désigne le principal type d'organisation politique au sein du peuple Squat. 1-p.72
Ligue d'Emberg	La Ligue d'Emberg est une formation politique et militaire Squat.
Ligue de Grindel	La Ligue de Grindel est une formation politique et militaire Squat. 1-p.73
Ligue de Kapellar	La Ligue de Kapellar est une formation politique et militaire Squat. 1-p.72
Ligue de Norgyr	La Ligue de Norgyr est une formation politique et militaire Squat. 1-p.72
Ligue de Thor	La Ligue de Thor est une formation politique et militaire Squat. 1-p.72
Lilia Mundi	Lilia Mundi, ou 'Lelialthar' en Eldar, est une planète colonisé par l'humanité avant l'air de l'Imperium et qui régressa à une époque pré-poudre noir durant l'Ère des Luttes. Elle fut intégrer par l'impérium durant la Grande Croisade et devint un monde de recrutement des Black Templars durant la Deuxième Fondation.1
Linceul de Cauchemar	Le Linceul de Cauchemar est une équipement utilisé par les Cripteks des Émissaires du Désespoir. 1
Lion El'Jonson	Lion El'Jonson fut l'un des 20 primarques créés par l'Empereur à partir de son propre patrimoine génétique. Il est le père génétique de la légion des Dark Angels. Surnommé "Le Lion", sa loyauté à l'Empereur était totale et sa fierté légendaire. Il disparut mystérieusement à son retour de la Bataille de Terra sur Caliban, son monde d'adoption. 1
Lion Warriors	Les Lion Warriors sont un Chapitre Space Marine loyaliste. 1
Lions Sable	Les Lions Sable furent un Chapitre Space Marine, successeur des Dark Angels, créé lors de la Seconde Fondation.
Liste de liens utiles	Liste de liens utiles et principaux se rapportant à l'univers de Warhammer 40,000 sur internet.Cette liste n'a pas pour but d'être exhaustive, mais de présenter les principaux repères de la communauté francophone sur la toile.Elle est à seul but informatif et n'implique aucun partenariat d'aucune sorte avec les sites/communautés citées sur cette page.
Liste des Chapitres Space Marine	Après l'Hérésie d'Horus, les Légions Space Marines loyalistes de la Première Fondation furent séparées en plus petites divisions appelées Chapitres, d'environ mille Space Marines chacun (ce nombre n'incluant pas les pilotes ou les officiers), afin de se protéger de la rébellion massive d'un trop grand nombre de marines comme cela avait déjà été le cas. Au fil du temps, le nombre de chapitres à grossi afin d'atteindre un millier.
Liste des Chapitres Space Marine du Chaos	Il s'agit d'une liste des Chapitres du Chaos nommés par Games Workshop dans des textes officiels.
Liste des Espèces Intelligentes	Cette liste regroupe les différentes espèces douées d'intelligence existant, ou ayant existé, dans l'univers de Warhammer 40000.
Liste des Régiments de la Garde Impériale	Le présent article liste les Régiments de la Garde Impériale, répartis par monde d'origine.Les Régiments s'étant détournés de la lumière de l'Empereur pour embrasser le Chaos sont identifiés comme suit :
Liste des Waaaghs! ork	Il s'agit d'une liste des Waaagh! Orks nommés par Games Workshop dans des textes officiels.
Liste des batailles de l'Hérésie d'Horus	Voici une liste des campagnes et batailles connues qui se déroulèrent pendant l'Hérésie d'Horus.Cette liste n'est pas exhaustive et tente de présenter les batailles par ordre chronologique. Cependant, en raison de la nature et de la manière dont les informations furent conservées, l'ordre chronologique ne doit être pris que comme un guide approximatif.
Liste des planètes	Voici une liste de toutes les planètes de l'univers de Warhammer 40,000 (classées par ordre alphabétique):
Litanie de l'armement	La "Litanie de l'armement", ("Warrior's Catechism of Workship" en anglais 2) est un rituel de l'Adeptus Astartes. 2-p.15,4
Litanie des Armes	La "Litanie des Armes" est un rîtuel de l'Adeptus Astartes. 1
Liu Yang	Chris Ng Fhze Yang (ou 'Poisondlo'2), est un illustrateur et contributeur des publications de Fantasy Flight Games.
Livre de Lemartes	Le "Livre de Lemartes" est un recueil de sermons du chapelain Lemartes. 1b
Livre de la Rédemption	Le Livre de la Rédemption est un grimoire porté par Ezekiel, Grand Maître des Archivistes des Dark Angels. 1
Livre des Seigneurs	Le "Livre des Seigneurs" (Book of The Lords) 1c est le principal ouvrage 'sacré' des Astartes Blood Angels. 1
Livres de background et Artbooks (Liste)	Liste des livres (Artbooks, Background) dont le contenu apporte des éléments sur  l'univers de Warhammer 40,000 sans être ni un livre de règle ni un d'armée.
Livres de règles (Liste)	Cet article liste l'ensemble des livres de règles ou livres d'armée se rapportant à un système de jeu (de plateau, de rôle, de cartes, etc.) en lien avec l'univers de Warhammer 40,000.
Llandu'gor	Le Llandu'gor dit le Dépeceur est le nom d'un C'tan du panthéon des Nécrontyrs. 1
Loac	Loac est un Monde Minier du Secteur Gothique. 1
Lobba	Basé sur le même châssis que le Kanon, le Lobba est une pièce d'artillerie tirant des projectiles explosif suivant une trajectoire parabolique. Les Grots préfèrent largement les Lobba aux Kanon car ils n'ont pas besoin de s'exposer à l'ennemi pour faire feu. La plupart de ces armes lourdes ressemblent à des Mortiers ou à des Lance-rokettes mais les plus rudimentaires ont l'aspect de catapultes.
Locastor	Frère Locastor fut un Sergent Vétéran de l'antique XIVème légion de la Death Guard. 1
Loebos	Loebos est un Monde Hostile du royaume d'Ultramar. 1
